EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LongMidRangeFGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,OffThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LostBallSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGA,PenaltyArc3Frequency,Charge Fouls Drawn,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyFtPoints,SelfOReb,SelfORebPct,ThreePtShootingFoulsDrawn,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,BlockingFoulsDrawn,FTOffRebounds,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,BlockedLongMidRange,Travels,LongMidRangePctBlocked,SecondChanceFtPoints,DefensiveGoaltends,ShortMidRangePctBlocked,team_id,year,season,team_vs
101181-1627752-200794-203471-203488,1610612737,"Jose Calderon, Taurean Prince, Paul Millsap, Dennis Schroder, Mike Muscala","Calderon, Prince, Millsap, Schroder, Muscala",101181-1627752-200794-203471-203488,ATL,113.0,1,2.0,2.0,3.0,2.0,,5.0,,,2.0,,,,2.0,2.0,,,6.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,63.716814159292035,,20.333333333333332,26.0,20.333333333333332,24.0,,,,,1.0,,,,,,,,0.392,10.85,,,,,2.0,,,,,2.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101181-1627752-200794-203471-2730,1610612737,"Jose Calderon, Taurean Prince, Paul Millsap, Dennis Schroder, Dwight Howard","Calderon, Prince, Millsap, Schroder, Howard",101181-1627752-200794-203471-2730,ATL,131.0,1,2.0,3.0,5.0,5.0,,10.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,7.0,4.0,2.0,2.0,3.0,,,1.0,1.0,2.0,,1.0,5.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,7.0,0.5,0.5,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,0.3333333333333333,1.0,,1.0,1.0,,,,,1.0,109.92366412213741,,10.8,15.4,10.8,15.4,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,0.6666666666666666,,0.6489,3.7,22.9,,,,,,,1.0,1.0,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1610612737,2017,2016-17,True
101181-1627752-200794-203488-203501,1610612737,"Jose Calderon, Taurean Prince, Paul Millsap, Mike Muscala, Tim Hardaway Jr.","Calderon, Prince, Millsap, Muscala, Hardaway Jr.",101181-1627752-200794-203488-203501,ATL,412.0,4,7.0,,13.0,15.0,2.0,28.0,3.0,5.0,,,2.0,3.0,5.0,10.0,2.0,3.0,16.0,16.0,2.0,8.0,6.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,2.0,3.0,5.0,3.0,8.0,1.0,1.0,1.0,2.0,,1.0,1.0,4.0,,1.0,,1.0,,,,1.0,1.0,,14.0,0.2,0.2,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6153846153846154,0.6153846153846154,0.23076923076923078,0.6,0.4,1.0,0.7142857142857143,0.5,,1.0,1.0,1.0,97.86407766990291,1.0,13.538461538461538,15.733333333333333,13.076923076923077,15.266666666666667,0.38461538461538464,0.6,0.75,0.3333333333333333,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.6153846153846154,0.6666666666666666,0.5128846153846154,10.22,25.3,,5.0,,,,1.0,1.0,1.0,,,,0.5,1.0,1.0,0.38461538461538464,,,,2.0,,0.4,0.4,,,,,,,2.0,,,,,,,,,,,,,,,0.5,,0.5,,,0.3333333333333333,,,,,,,,,0.4169,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,,0.5,0.1,0.2,0.5,,0.5,,,,,,,,,,,1.0,,,,0.3333333333333333,,,,,,,1.0,,,,,,1610612737,2017,2016-17,True
101181-1627752-200794-203501-2730,1610612737,"Jose Calderon, Taurean Prince, Paul Millsap, Tim Hardaway Jr., Dwight Howard","Calderon, Prince, Millsap, Hardaway Jr., Howard",101181-1627752-200794-203501-2730,ATL,460.0,3,8.0,-7.0,17.0,16.0,3.0,33.0,,2.0,2.0,1.0,1.0,2.0,3.0,12.0,1.0,3.0,11.0,18.0,6.0,,3.0,2.0,1.0,3.0,1.0,4.0,1.0,,9.0,4.0,1.0,1.0,2.0,5.0,7.0,2.0,,3.0,6.0,,5.0,,5.0,,4.0,1.0,,,,,,,,8.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.3,0.34375,0.2,1.0,0.4444444444444444,1.0,1.0,0.45454545454545453,,,,,103.30434782608695,,15.176470588235293,12.625,13.941176470588236,12.625,0.13333333333333333,,,,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,0.43809333333333333,13.141666666666666,26.099999999999998,1.0,8.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,,0.5,0.5,1.0,0.5333333333333333,0.4,0.0625,0.07692307692307693,2.0,2.0,0.25,0.25,,,,1.0,1.0,1.0,3.0,,,,2.0,,2.0,,,,,,,0.5,,0.3,,0.3,,,0.6666666666666666,,0.5,0.5,1.0,0.5,1.0,,,0.45291,,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,3.0,,,,1.0,,,,,1.0,0.2,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1610612737,2017,2016-17,True
101181-1627752-203145-203488-2399,1610612737,"Jose Calderon, Taurean Prince, Kent Bazemore, Mike Muscala, Mike Dunleavy","Calderon, Prince, Bazemore, Muscala, Dunleavy",101181-1627752-203145-203488-2399,ATL,29.0,1,,,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,99.3103448275862,,24.0,5.0,24.0,5.0,,,,,,,1.0,,,,1.0,,0.3246,,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.3246,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1610612737,2017,2016-17,True
101181-200794-203145-203471-203501,1610612737,"Jose Calderon, Paul Millsap, Kent Bazemore, Dennis Schroder, Tim Hardaway Jr.","Calderon, Millsap, Bazemore, Schroder, Hardaway Jr.",101181-200794-203145-203471-203501,ATL,71.0,2,1.0,-2.0,1.0,2.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,4.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,,,1.0,,,,,60.84507042253521,,48.0,11.5,46.0,11.5,0.5,1.0,1.0,1.0,,,0.5,,,,1.0,,0.5364,2.0,25.4,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101181-200794-203145-203488-203501,1610612737,"Jose Calderon, Paul Millsap, Kent Bazemore, Mike Muscala, Tim Hardaway Jr.","Calderon, Millsap, Bazemore, Muscala, Hardaway Jr.",101181-200794-203145-203488-203501,ATL,261.0,3,4.0,3.0,9.0,10.0,1.0,19.0,3.0,3.0,,,1.0,1.0,4.0,6.0,1.0,1.0,14.0,11.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,,,2.0,,3.0,,1.0,,,1.0,1.0,,,14.0,0.25,0.25,1.0,1.0,1.0,0.6666666666666666,0.7857142857142857,0.875,0.14285714285714285,0.5,0.5,0.6666666666666666,0.6,0.5,,0.5,,0.5,104.82758620689656,,12.666666666666666,14.7,12.555555555555555,13.7,0.42857142857142855,1.0,1.0,0.3333333333333333,,,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,1.0,0.5364642857142857,10.233333333333333,24.8,,3.0,,3.0,,,1.0,,4.0,3.0,,0.3333333333333333,,,0.42857142857142855,,0.375,0.42857142857142855,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1610612737,2017,2016-17,True
101181-200794-203145-203488-2399,1610612737,"Jose Calderon, Paul Millsap, Kent Bazemore, Mike Muscala, Mike Dunleavy","Calderon, Millsap, Bazemore, Muscala, Dunleavy",101181-200794-203145-203488-2399,ATL,257.0,2,4.0,-4.0,9.0,8.0,,17.0,,1.0,,,,1.0,2.0,5.0,,1.0,5.0,9.0,,4.0,,1.0,,,,,,,,,1.0,2.0,3.0,,3.0,1.0,1.0,1.0,2.0,,,,2.0,,1.0,,2.0,,,1.0,2.0,1.0,,5.0,,,,,,0.4,0.3333333333333333,0.35714285714285715,0.16666666666666666,0.6666666666666666,,1.0,0.75,,,1.0,1.0,,95.25291828793775,0.5,13.11111111111111,17.375,13.11111111111111,16.625,0.16666666666666666,,,,,,0.16666666666666666,,,,0.3333333333333333,,0.39090833333333336,15.24,31.1,,4.0,,1.0,,,1.0,1.0,2.0,1.0,,0.5,,,0.6666666666666666,,0.14285714285714285,0.16666666666666666,2.0,,0.5,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,0.2,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
101181-200794-203145-203501-2399,1610612737,"Jose Calderon, Paul Millsap, Kent Bazemore, Tim Hardaway Jr., Mike Dunleavy","Calderon, Millsap, Bazemore, Hardaway Jr., Dunleavy",101181-200794-203145-203501-2399,ATL,46.0,1,1.0,4.0,2.0,2.0,,4.0,2.0,2.0,,,,,2.0,2.0,,,4.0,,2.0,2.0,,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,4.0,0.5,0.5,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,125.21739130434781,1.0,8.0,15.0,8.0,15.0,1.0,1.0,1.0,0.5,,,,,,,1.0,,0.7281,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1610612737,2017,2016-17,True
101181-200794-203145-203501-2730,1610612737,"Jose Calderon, Paul Millsap, Kent Bazemore, Tim Hardaway Jr., Dwight Howard","Calderon, Millsap, Bazemore, Hardaway Jr., Howard",101181-200794-203145-203501-2730,ATL,95.0,1,2.0,-3.0,2.0,3.0,,5.0,,,,,,,1.0,2.0,,,2.0,5.0,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,0.5,0.5,0.5,,,,1.0,1.0,,,,,,75.78947368421053,,20.5,18.0,20.5,18.0,,,,,,,,,,,,,0.3888,16.25,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,0.5,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,0.4115,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,1610612737,2017,2016-17,True
101181-203145-203488-203501-2399,1610612737,"Jose Calderon, Kent Bazemore, Mike Muscala, Tim Hardaway Jr., Mike Dunleavy","Calderon, Bazemore, Muscala, Hardaway Jr., Dunleavy",101181-203145-203488-203501-2399,ATL,100.0,1,2.0,-1.0,3.0,2.0,1.0,5.0,,,,,,1.0,,,,1.0,3.0,4.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,,0.5,1.0,,,,,1.0,,,,,72.0,,17.666666666666668,23.5,17.333333333333332,21.5,,,,,,,1.0,,,,1.0,,0.4821,,26.0,,,,3.0,,1.0,,,4.0,2.0,,,1.0,1.0,,,0.6666666666666666,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1610612737,2017,2016-17,True
1627752-200757-200794-203145-2730,1610612737,"Taurean Prince, Thabo Sefolosha, Paul Millsap, Kent Bazemore, Dwight Howard","Prince, Sefolosha, Millsap, Bazemore, Howard",1627752-200757-200794-203145-2730,ATL,13.0,1,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.75,0.75,0.5,,1.0,,,1.0,1.0,,,,110.76923076923076,,13.0,,8.0,,,,,,0.5,,0.5,1.0,1.0,,0.5,1.0,0.4759,9.0,24.7,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,3.0,,1.0,3.0,,,,,,,,3.0,1.0,1.0,,1.5,0.75,1.5,0.75,,,,,,,1.0,,,,0.5172,0.4759,1.0,1.0,1.0,,,,,,1.0,1.0,3.0,,1.0,,,,,,,,1.0,0.5,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
1627752-200757-203145-203501-2730,1610612737,"Taurean Prince, Thabo Sefolosha, Kent Bazemore, Tim Hardaway Jr., Dwight Howard","Prince, Sefolosha, Bazemore, Hardaway Jr., Howard",1627752-200757-203145-203501-2730,ATL,8.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,360.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
1627752-200794-203145-203471-203488,1610612737,"Taurean Prince, Paul Millsap, Kent Bazemore, Dennis Schroder, Mike Muscala","Prince, Millsap, Bazemore, Schroder, Muscala",1627752-200794-203145-203471-203488,ATL,196.0,2,3.0,6.0,6.0,4.0,4.0,10.0,3.0,5.0,2.0,,,2.0,3.0,7.0,,2.0,9.0,3.0,4.0,2.0,,2.0,,2.0,,2.0,,2.0,4.0,3.0,1.0,2.0,3.0,5.0,8.0,,,,,,,,,,2.0,,1.0,,,1.0,1.0,1.0,,5.0,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,0.3333333333333333,0.4090909090909091,0.2222222222222222,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,,,73.46938775510205,1.0,21.666666666666668,16.5,15.0,16.5,0.5555555555555556,0.6,0.6,0.6666666666666666,0.2222222222222222,,0.2222222222222222,,,,0.7777777777777778,,0.5354333333333333,3.314285714285714,26.65,4.0,,1.0,3.0,1.0,1.0,,,4.0,1.0,,,0.5,0.5,,0.25,0.1,0.125,,,,,4.0,1.0,3.0,,,,4.0,1.0,5.0,5.0,,,,,,,,5.0,4.0,,0.2,0.25,0.16666666666666666,0.4,0.3125,,,,,,,,,0.5,0.3333333333333333,0.46268333333333334,0.479675,0.4444444444444444,0.5555555555555556,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,1.0,0.16666666666666666,,,,,,1.0,3.0,1.0,3.0,,,,,0.3333333333333333,,,0.5,,0.75,0.3333333333333333,3.0,1.0,0.16666666666666666,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,1610612737,2017,2016-17,True
1627752-200794-203145-203471-203501,1610612737,"Taurean Prince, Paul Millsap, Kent Bazemore, Dennis Schroder, Tim Hardaway Jr.","Prince, Millsap, Bazemore, Schroder, Hardaway Jr.",1627752-200794-203145-203471-203501,ATL,945.0,6,16.0,-4.0,32.0,32.0,2.0,64.0,4.0,7.0,4.0,3.0,2.0,7.0,10.0,19.0,2.0,10.0,34.0,38.0,4.0,16.0,6.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,1.0,3.0,6.0,9.0,1.0,10.0,5.0,1.0,,2.0,,3.0,,6.0,,8.0,,4.0,,,2.0,4.0,3.0,,34.0,0.2,0.2,1.0,0.2,0.2222222222222222,0.5263157894736842,0.4482758620689655,0.5,0.3448275862068966,0.75,0.1111111111111111,1.0,0.8181818181818182,0.0625,,0.8,1.0,1.0,97.52380952380952,0.75,16.8125,12.71875,16.375,12.65625,0.2413793103448276,0.5714285714285714,0.6666666666666666,0.25,0.13793103448275862,0.10344827586206896,0.2413793103448276,0.2857142857142857,0.2857142857142857,1.0,0.5862068965517241,0.3333333333333333,0.47937142857142856,9.552631578947368,26.810000000000002,18.0,8.0,,8.0,,,2.0,,12.0,5.0,1.0,1.0,,,0.27586206896551724,,0.16129032258064516,0.23809523809523808,5.0,4.0,0.625,0.625,20.0,1.0,3.0,1.0,,,,5.0,10.0,19.0,1.0,,2.0,1.0,,,3.0,19.0,20.0,,0.5,,0.3611111111111111,,0.42857142857142855,,0.3333333333333333,,0.25,0.25,0.2,,,0.16666666666666666,0.3333333333333333,0.3672,0.4671911764705883,,0.5588235294117647,0.625,,,,,2.0,1.0,8.0,,,0.125,,,,,,0.1111111111111111,,6.0,0.3333333333333333,,1.0,,2.0,0.16666666666666666,,1.0,,2.0,,1.0,1.0,,,0.05263157894736842,0.14285714285714285,,,0.5,,6.0,,,,,,,2.0,,,2.0,2.0,,0.5,,,,,,1.0,,,,,,,1610612737,2017,2016-17,True
1627752-200794-203145-203471-2730,1610612737,"Taurean Prince, Paul Millsap, Kent Bazemore, Dennis Schroder, Dwight Howard","Prince, Millsap, Bazemore, Schroder, Howard",1627752-200794-203145-203471-2730,ATL,668.0,4,11.0,-8.0,22.0,21.0,3.0,43.0,4.0,5.0,4.0,,2.0,9.0,7.0,12.0,2.0,9.0,26.0,34.0,4.0,10.0,3.0,9.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,4.0,,4.0,4.0,8.0,1.0,,,3.0,,4.0,,7.0,,5.0,1.0,,,,,,,,22.0,0.2857142857142857,0.2857142857142857,0.5,0.2222222222222222,0.2222222222222222,0.5833333333333334,0.47619047619047616,0.5652173913043478,0.42857142857142855,,0.2,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.5,,,0.6,92.69461077844312,,16.545454545454547,14.476190476190476,15.5,13.80952380952381,0.23809523809523808,0.8,0.8,0.25,0.19047619047619047,,0.42857142857142855,0.2222222222222222,0.2222222222222222,0.5,0.6666666666666666,0.2222222222222222,0.5169285714285714,8.65,25.27777777777778,13.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,6.0,3.0,2.0,1.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.13636363636363635,0.23076923076923078,1.0,1.0,0.3333333333333333,0.3333333333333333,10.0,,,2.0,,,4.0,1.0,4.0,10.0,,,1.0,2.0,,,2.0,10.0,10.0,,0.25,0.3333333333333333,0.4444444444444444,0.5,0.5,,,,0.5,0.5,,,,,,0.5211,0.4875222222222222,0.15384615384615385,0.38461538461538464,0.45454545454545453,,,,,,2.0,5.0,3.0,,0.4,,,,,,,,5.0,0.5555555555555556,,2.0,,,0.4,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,0.5,0.3333333333333333,1.0,2.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,1610612737,2017,2016-17,True
1627752-200794-203145-203501-2730,1610612737,"Taurean Prince, Paul Millsap, Kent Bazemore, Tim Hardaway Jr., Dwight Howard","Prince, Millsap, Bazemore, Hardaway Jr., Howard",1627752-200794-203145-203501-2730,ATL,68.0,2,1.0,,4.0,2.0,,6.0,1.0,2.0,1.0,,,1.0,1.0,3.0,,1.0,2.0,2.0,,2.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,0.3333333333333333,0.25,0.25,0.25,1.0,,,1.0,,,1.0,,,127.05882352941177,,11.5,11.0,11.5,11.0,0.5,0.5,1.0,,0.25,,0.25,,,,0.75,,0.5636375,5.1000000000000005,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2017,2016-17,True
